local_time,sex,event,round,startlist_url,results_url,summary_url,points_url,pos,bib,name,country,mark
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,1.0,29.0,Brian Daniel PINTADO,ECU,1:18:55
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,2.0,15.0,Caio BONFIM,BRA,1:19:09
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,3.0,33.0,Álvaro MARTÍN,ESP,1:19:11
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,4.0,55.0,Massimo STANO,ITA,1:19:12
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,5.0,18.0,Evan DUNFEE,CAN,1:19:16
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,6.0,35.0,Wakuma MISGANA,ETH,1:19:31 NR
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,7.0,57.0,Koki IKEDA,JPN,1:19:41
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,8.0,59.0,Yuta KOGA,JPN,1:19:50
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,9.0,38.0,Aurélien QUINION,FRA,1:19:56 PB
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,10.0,23.0,Jun ZHANG,CHN,1:19:56
